project_name,name,title,deneme,org_id,idea,project_link,nextt,tag,key,description
,,"
  Learning Platform for Overpass API
",,,,,,,," OpenStreetMap, A fully interactive, integrated learning platform for the Open Street Map API. API documentation is the number one pain point for developers, and we want to minimize the spinup time of developers using the platform!"
,,"
  OpenCL image support for the r600 gallium driver
",,,,,,,," X.Org Foundation, Current open source radeon drivers do not support OpenCL images. The aim of this project is to implement support for image-related OpenCL C 1.1 capabilities, both 2d and 3d, in the r600 gallium driver."
,,"
  Freedreno support on Android with DRM/KMS based Hardware Composer
",,,,,,,," X.Org Foundation, This project aims to provide an open source alternative to the the proprietary graphics drivers and library implementations used with Qualcomm's Adreno GPUs on Android with the help of Freedreno/Mesa."
,,"
  Apitrace: Add support for performance counters in the profiling view.
",,,,,,,," X.Org Foundation, Apitrace is an open source program that allows tracing, replaying, inspecting and profiling OpenGL/Direct3D calls made by any application. The goal of this task is to improve the profiling capabilities on the OpenGL side by leveraging the AMD_performance_monitor and INTEL_performance_query extensions, when available."
,,"
  Range analysis pass, and porting optimization passes to Mesa's NIR
",,,,,,,," X.Org Foundation, The openGL implementation Mesa (part of the Linux graphics stack) has just gotten a new ir, NIR. NIR will allow for implementing a lot of the common optimization passes in the way they are represented in research papers, since it is SSA. NIR shows great potential, and lot of good work has been done. There are still optimization passes that could be ported from GLSL ir. I seek to implement a range analysis pass for NIR, among others."
,,"
  Atomic counters support for llvmpipe including computer shader interactions
",,,,,,,," X.Org Foundation, This project aims to get a working implementation of the ARB_shader_atomic_counters OpenGL extension and extend this work to cover interactions with the ARB_compute_shader extension in Mesa, for the llvmpipe driver."
,,"
  Convert the BOCHS and CIRRUS drivers to atomic mode-setting
",,,,,,,," X.Org Foundation, Atomic mode-setting has been discussed and designed for literally years, now it's finally there, it is not only necessary but allows a bunch of nice and long overdue cleanup and unification. There are a lot ongoing atomic mode-setting conversions and some already committed to drm-next ones, while there still are some subsystems haven't started the work, as far as I know, radeon, udl, bochs and cirrus are some optional drivers. I will take DRM_BOCHS and DRM_CIRRUS_QEMU as my converting goals."
,,"
  Moderation Queue for osm.org
",,,,,,,," OpenStreetMap, As of now, reporting issues on OSM is cumbersome. To do so, a user needs to externally email an administrator with the concerned issue. This project is aimed at simplifying this procedure by creating a ""Report"" button and integrating it into the website. It is also aimed at creating a dashboard for the administrators so that they can easily manage the incoming reports."
,,"
  Mapillary plugin for JOSM
",,,,,,,," OpenStreetMap, At the moment there isn't any integration plugin between Mapillary service and JOSM, only with ID. As JOSM is one of the most used OSM editors I think that a Mapillary plugin would really be appreciated and useful. The main idea would be to be able to download mapillary pictures and show them in a JOSM layer, so when the users clicks on them the full picture is shown in order to easily identify street level objects."
,,"
  JOSM raster layers filters
",,,,,,,," OpenStreetMap, I am a third-year student of Moscow Institute of Physics and Technology. I have never worked on open source project so I believe that it is a great opportunity for me to show what I can do. I am open-minded for task from this project that is why I would like to take part in contributing idea of implementing JOSM filters - I find it very attractive and interesting. I believe, I can show you good example of hard-working contributor and developer and you will never be regret if you apply myself."
,,"
  JOSM: OpenGL data view
",,,,,,,," OpenStreetMap, Using OpenGL, the drawing speed of the JOSM map view could be increased significantly. Smooth zooming and scrolling would then be possible at lower zoom levels."
,,"
  Redesign and reimplement road presentation in Default OSM map style
",,,,,,,," OpenStreetMap, Redesign and reimplement road presentation in Default OSM map style, as trunk roads in forests should not be invisible.

Full redesign will allow to fix major problems with current styling of roads and allow to display additional OSM data like surface information."
,,"
  A WebGL frontend for OSM2World
",,,,,,,," OpenStreetMap, The project aims at making the maps render in 3D inside the browser, without any need of a plugin to be installed. 
The current maps are only rendered in 2D even when the OSM2World servers provide 3D spatial data. This project aims to overcome that.
The main technologies to be used are WebGL and three.js"
,,"
  Improving the osm2world GUI
",,,,,,,," OpenStreetMap, The goal of this project is to improve the osm2world GUI with modern OpenGL features."
,,"
  John the Ripper jumbo robustness improvements
",,,,,,,," Openwall, This project aims at improving the robustness of John the Ripper jumbo, especially faced with invalid input. There are mainly two approaches, one through fuzzing, and the other through source code review. By fuzzing, American Fuzzy Lop(AFL) can be customized and integrated with John the Ripper jumbo. By source code review, manual reviews and automated static analysis such as valgrind, cppcheck and ClangStatic Analyzer can be used."
,,"
  ESIL to Static Single Assignment form
",,,,,,,," Openwall, ESIL (Radare's Intermediate Language) is currently not in SSA form, which means that variables get assigned more than once.
A goal for the radare2 project is to include a retargetable decompiler, and having SSA form output of ESIL is a first step towards this."
,,"
  Enhancing Johnny
",,,,,,,," Openwall, Johnny is a GUI for John the Ripper which is a console application. It makes it easier to do most of the basic and advanced functionnalities of the original console software . The current version of Johnny is version 1.1 and the goal of this proposal is to follow the development road available at http://openwall.info/wiki/john/johnny-roadmap and to develop as much improvements as I can. I'd like to get to version 2.0 (the first stable release) and also find new ideas to improve it."
,,"
  John the Ripper support for PHC finalists
",,,,,,,," Openwall, John the Ripper support for PHC finalists"
,,"
  Radare2: ESIL to Static Single Assignment form
",,,,,,,," Openwall, As a step towards a retargetable decompiler r2's ESIL should get converted to SSA representation. Beyond the naive translation it should also identify local variables and represent them within the SSA graph (where stack deltas are known).
Constant folding should further remove noise from the output."
,,"
  yescrypt implementations
",,,,,,,," Openwall, Yescrypt is a password hashing algorithm, and finalist in the PHC password hashing competition. The task is to implement yescrypt in programming languages other than C, so that applications written those languages can take advantage of yescrypt without being stuck with whichever algorithm they currently have."
,,"
  DEVELOPMENT OF A SIMPLE 1D HYDRAULIC MODEL FOR JGRASSTOOLS
",,,,,,,," OSGeo - Open Source Geospatial Foundation, The idea of the project is to develop a simple 1-D hydraulic model within JGrassTools. 
The objective is to develop a simplified GIS based model for evaluating the water depth and velocity inside the streams. The model will have as input the water discharge in the upstream section (calculated with the hydrological model), the geometry of the sections (derived from the DTM), and some hydraulics parameters valid in general for the river or specific for each section."
,,"
  New osm2pgrouting import tool to import OpenStreetMap(OSM)data in pgRouting
",,,,,,,," OSGeo - Open Source Geospatial Foundation, pgRouting is a software which provides geospatial routing functionality which needs data to work upon and OSM data is the most popular road network data.
We want to use OSM data more frequently and effectively in this software via 'osm2pgRouting' tool. There is a current implementation of this tool which can be improved with various new features added to it.
We will use OSRM EXTRACT procedure and configuration settings to import OSM data into our existing PostGreSQL database"
,,"
  Add productivity tools to MapServer's ScribeUI
",,,,,,,," OSGeo - Open Source Geospatial Foundation, ScribeUI is a cloud-based and open-source Mapfile editing utility for MapServer. Its goal is to simplify the creation and edition of Mapserver maps with a custom syntax and a visual interface. Its use of variables and layer ranges allow the users to make maps more efficiently than by writing regular Mapfiles by hand.

My objectives for this summer are to improve the error detection of ScribeUI, add the ability on import and export workspaces and add class generation from a set of data."
,,"
  REST interface for PyWPS 4
",,,,,,,," OSGeo - Open Source Geospatial Foundation, My proposition as one of the active developers of PyWPS 4, an Python implementation of the Web Processing Service standard, is the implementation of a REST interface allowing for example the following but not limited to: 

* The ability for configuration of PyWPS and controlling of running processes 
* Getting a list of running processes 
* Possibility to pause/kill/resume running processes
* Import new processes into existing instances."
,,"
  GTFS-Realtime validation tool for Open Trip Planner
",,,,,,,," OSGeo - Open Source Geospatial Foundation, GTFS-Realtime is one of the leading open standards for transmitting real time transit data.  But currently there are no open source validation tools for these feeds. 

The goal of the project is to develop an extensible GTFS-Realtime validator that is self contained. This can be used in the Open Trip Planner project as well as other projects using the feed format. 

The validation tool will take in a GTFS and GTFS-rt feeds as input and monitor and log errors and warnings on the said feeds."
,,"
  QGIS - Multithread support on QGIS Processing toolbox
",,,,,,,," OSGeo - Open Source Geospatial Foundation, This project consists on making the QGIS Processing toolbox multi-threaded, this will allow to have non blocking analysis/geoprocessing jobs, prevent crashes (when a QGIS module crashes for some reason) and also improve the user experience."
,,"
  Integration of geospatial OSS in educational notebooks
",,,,,,,," OSGeo - Open Source Geospatial Foundation, This GSoC 2015 Idea will focus on the development of a cross-projects python library with the aim of bridging together the several software libraries already installed on the live through the use of the Jupyter notebook server [http://jupyter.org] in a series of ""topic-oriented"" geospatial notebooks."
,,"
  OSSIM tool for DSM generation using tri-stereo and SAR imagery
",,,,,,,," OSGeo - Open Source Geospatial Foundation, My project proposal concerns the improvement and the implementation of new functionalities for DATE OSSIM PlugIn, that I have developed in the framework of the 2014 GSoC.
At present, DATE is a PlugIn for DSM generation from an optical stereo-pair.
Starting from what I have already done, I would like to extend it and enable it to process also a triplet. Furthermore I would like to include the possibility to use SAR imagery for DSM stereo reconstruction."
,,"
  Improved Metadata for GRASS GIS
",,,,,,,," OSGeo - Open Source Geospatial Foundation, Current GRASS GIS offers ISO-based Metadata support. This package includes three modules designed to generate, create and edit metadata. The goal of this work consist of two main parts. First aim is to improve current package by adding a few functionality for extend metadata handling. The second goal is to implement module for interaction with metadata catalogue services (CSW). Additional benefit of this part allows access of metadata between GRASS GIS and QGIS (MetaSearch plugin)."
,,"
  Integration of GDAL utilities into GDAL core library
",,,,,,,," OSGeo - Open Source Geospatial Foundation, The aim of the project is to integrate all the functionality of GDAL utilities into GDAL core library and update the swig bindings so that the utility functions can be called from other languages without the need to make system call."
,,"
  Port Network Analysis Extension to gvSIG 2.x branch
",,,,,,,," OSGeo - Open Source Geospatial Foundation, My proposal is to develop a plugin to migrate all features of route calculation from the 1.* gvSIG version to the latest one. 
These are the main tasks to do:

     Route management to get the shortest path 
     Optimizing the order of stops on a route 
     Calculation of service areas 
     Location of the nearest event 
     Calculate matrices Origin - Destination 
     Calculation of minimum spanning tree"
,,"
  Scalability for Big data processing for istSOS
",,,,,,,," OSGeo - Open Source Geospatial Foundation, istSos is a server implementation that collects,redistribute and manages data received from sensor according to SOS. The server need to store data in a database, based on postgresSQL. This software is heavily dependent on database performance and also needs a database with the lowest possible downtime.
istSOS needs to manage enormous amounts of data and needs them to be ready without latency.
Using pgpool-2 behind clients and database will improve istSOS performance and his reliability."
,,"
  Cartesian Path Planning Library (Descartes) Improvements
",,,,,,,," Open Source Robotics Foundation, Descartes is an actively developed path planning library for industrial processes, including welding, machining, and painting. The first task is to develop a Descartes - MoveIt adapter which would allow the use of a few existing tools. The second phase includes improving upon the ROS Message API by creating new or leverage existing ROS APIs in order to exploit the full power of Descartes functionality, allowing higher level GUIs and other ROS processes access to Descartes planning capabilities."
,,"
  Simulate wide-angle lens for vision sensors and a bit more
",,,,,,,," Open Source Robotics Foundation, Gazebo currently does support simulation of wide-angle lens cameras like fish-eyes. This project involves using Gazebo's graphics rendering engine OGRE to create wide-angle camera sensors, potentially by stitching multiple camera images together in shaders then adding distortion effects. The results should be validated using computer vision libraries such as opencv."
,,"
  ROS - PROFINET wrapper
",,,,,,,," Open Source Robotics Foundation, Hardware interfaces are top-level priority in ROS-Industrial Roadmap, however if not considering canopen package from IPA, there hasn't been any obvious progress in this field for quite a long time now. The goal of proposed project is therefore to develop a ROS-Profinet-wrapper for Siemens CP1616 Profinet PCI card in order to make Profinet communication interface available to ROS-Industrial community."
,,"
  Ignition Robotics Transport Library - Add more features to the main library
",,,,,,,," Open Source Robotics Foundation, The objective of the project is to implement additional features to the main library
of the IGN Transport library. This includes implementing the ability to send/receive
compressed messages, adding authentication and encrypted data and enabling latching.
The long term goal is for IGN Transport to become a powerful, yet lightweight, library
for the communication layer of robotics applications."
,,"
  What’s Fresh version 2.0
",,,,,,,," Oregon State University Open Source Lab (OSUOSL), What’s Fresh is an open source project to create a mobile app for locating fresh local seafood on the Oregon coast.It consists of a Django driven API and a multi-platform mobile app created with the Sencha tool kit.My job will be to improve the Django data entry system by integrating map based location data entry,making the overall data entry process smoother and simpler,providing theming and customization for the mobile and API app and make an automated build process for the mobile application."
,,"
  OSUOSL Data Center Tools project
",,,,,,,," Oregon State University Open Source Lab (OSUOSL), OSUOSL  hosts  variety of systems in it’s data center which include a wide array of vendors . Each of these machines utilize some type of out-of-band technology such as iLO or iDrac which allows direct access to the machine power and  other features. Unfortunately each OOB tool is different between the command line access and the console access. OSUOSL have begun work on an IPMI management tool, and would like to integrate SNMP functionality with this to create a unified OOB management tool."
,,"
  NAT traversal via hole punching Set of Rules as a Python implementation
",,,,,,,," P2PSP.org, Peer-to-peer connections are popular, as they allow to save bandwidth and remove the need for centralized servers. If both peers are behind a NAT device / router, UPnP and the IGD protocol are necessary. They are (being) implemented in P2PSP, however both need prior configuration in one of the NAT devices. This project is dedicated to implement NAT traversal via hole punching without prior configuration. It is implemented in Python as a new Set of Rules inheriting existing classes."
,,"
  Implementation of Content Integrity Set of rules for P2PSP
",,,,,,,," P2PSP.org, Currently, Python implementation of P2PSP protocol doesn't contain Content Integrity Set of rules (CIS). This set of rules allows to mitigate the pollution attacks (where the content is modified by an attacker). There is two variants of this set of rules, both are based on Third Trusted Party. The aim of this project is to implement both variants of CIS of rules for Python implementation of P2PSP, and to try to suggest CIS of rules without Third Trusted Party."
,,"
  ZeroMQ Island/Archipelago Implementation
",,,,,,,," PaGMO / PyKEP, My proposal for the PaGMO project is to implement an asynchronous communication layer using ZeroMQ upon which several abstractions can be implemented, like a ZeroMQ Island that would migrate solutions between similar islands in a network using a brokerless approach with dynamic discovery."
,,"
  Visual Thumbnails of Projects
",,,,,,,," Pencil Code Foundation, This project is to generate thumbnails for student programs and display them when browsing projects. As stated on the ideas page, this task can be performed in either the server side or the browser side. Both these approaches have their challenges, as they might not render the output faithfully to what the student sees when actually running the program. My approach is to combine these two ways to make them complement each other so as to overcome the drawbacks."
,,"
  Block Editing for HTML and CSS
",,,,,,,," Pencil Code Foundation, I want to work on the suggested project 'Block Editing for HTML and CSS' this summer. The aim is simple, to implement a good parser and an adapter for both the languages and modify droplet to add any feature that goes well with the concept and enhances productivity. This will be a great way for kids to start learning Web Development."
,,"
  Error Reporting Server
",,,,,,,," phpMyAdmin, This project aims at improving the phpMyAdmin's error reporting server in terms of performance and functionality."
,,"
  Page-related settings and other user interface improvements
",,,,,,,," phpMyAdmin, The project is about implementing several feature requests. Majority of these feature requests are affecting user interface.

The feature requests planned for the project are listed below.

- rfe#1559 Page-related settings
- rfe#1541 Disable foreign key checks in some operations
- rfe#1551 Integrate SQL debugging into the console
- rfe#1557 Option to remove functions and procedures from navigation tree
- rfe#1603 Export: per-table structure/data"
,,"
  Codebase Improvements: OOP and refactoring
",,,,,,,," phpMyAdmin, The project aims at improving the phpMyAdmin code base by refactoring existing functions and classes with object-oriented design patterns. The goal of the project is to convert current not well OOPed .lib and .class to be OOPed classes, which will ease future development of phpMyAdmin. This project will bring many benefits to developers like well designed and OOPed classes, and a simple template system for HTML outputs."
,,"
  GSoC 2015 - Feature request project enhancements
",,,,,,,," phpMyAdmin, Every project over a period of time has to come up with new features that may help its users as well as its own performance to get better. In this regard, phpMyAdmin, since its start has always responded to the needs and requests of its users and this project aims to continue that by implementing a few of the selected RFEs over the summer."
,,"
  Maintenance hero
",,,,,,,," Pidgin, Finch, and libpurple, I would like to spend this summer as Pidgin's maintenance hero-intern, working through stagnant or hairy bugs, implementing small XEPs that have been on the to-do list, and generally helping to make the 3.0.0 release as smooth and as soon as possible.

I recently worked with Tomasz to change my project, so this proposal is a work in progress. If you have any questions, please ask in the comments and I'll answer quickly."
,,"
  Rewrite chat log backend and frontend
",,,,,,,," Pidgin, Finch, and libpurple, A proposal of refactoring chat log to make its backend more flexible."
,,"
  Facebook Messenger Protocol for libpurple
",,,,,,,," Pidgin, Finch, and libpurple, Many chat clients, such as Pidgin/Finch, support Facebook chat via the XMPP interface.  There are two key issues with the XMPP interface: it has been deprecated and there is no group chat support.  With the imminent shutdown of the XMPP interface, many users will be left in the dark.  And even with XMPP, the group chat functionality has been nonexistent.  In order to better support the platform for what people use it for, which is chatting, group chat support is essential."
,,"
  XMPP prpl improvements
",,,,,,,," Pidgin, Finch, and libpurple, In this project we intend to add some new extensions to XMPP protocol supported by Pidgin (libpurple). Also, we would fix some current issues with the XMPP functionality as well as user-interface problems that are related to it in Pidgin."
,,"
  Port libpurple changes from Instantbird
",,,,,,,," Pidgin, Finch, and libpurple, The project consists in porting the changes made in instantbird's libpurple core to the original libpurple."
,,"
  Improving Ninia: A Web-Based Python Interpreter
",,,,,,,," PLASMA @ UMass, Doppio emulates threads, a file system, network sockets and an unmanaged heap on top of JavaScript.
Ninia is a python interpreter on the web, currently limited to trivial python programs and does not make extensive use of Doppio's resources. 
This project will focus on improving Ninia to use Doppio threads, and eventually run multi-threaded python programs."
,,"
  AutoMan Monitoring and Debugging Plugin for IntelliJ IDEA BJ Proposal
",,,,,,,," PLASMA @ UMass, GSoC is a thing that I have been always dreaming of. It is a unique opportunity to work with the best. Coding for GSoC will give me a huge experience. Projects proposed in GSoC are kind different from usual projects. I find them as important additions to the main projects, they are always open for discussion.
IntelliJ IDEA and Scala are my favourite coding tools. This project will be an excellent example of connection between passion and doing something useful for the others."
,,"
  Rust for PNaCl
",,,,,,,," Portable Native Client, Rust is a systems programming language designed to be safe, low-level, and fast. Rust’s compiler is built on top of LLVM, and therefore presents a ”fairly” straightforward path to PNaCl/NaCl cross support to the Rust toolchain. I propose adding such cross support for PNaCl, and, in turn, NaCl to the Rust toolchain."
,,"
  Open Source Porting [ Tor's core ]
",,,,,,,," Portable Native Client, Currently Tor browser bundle is one of the most used approach to bypass censorship, be anonymous etc, which is not a seamless user experience. 
In this project the tor's core will be ported to nacl platform, which can allow the end user to gain the benefits of tor network in much more seamless and dynamic manner."
,,"
  Porting Perl to Native Client
",,,,,,,," Portable Native Client, Native Client and Portable Native Client are recent technologies that allow the
user to run native code (C/C++) in their browser. This project deals with
creating an exhaustive port of the Perl Language, and allowing other tools
written in Perl to execute on NaCl architectures, via the Dev Environment or
through browser pages."
,,"
  WebLogo --Making Sequence Logos Easy and Painless
",,,,,,,," Portland State University, WebLogo is designed to easily generate a graphical representation of RNA, DNA, or protein multiple sequence alignments. WebLogo’s sequence logos provide a richer and more precise description of    sequence similarity than consensus sequences, and WebLogo rapidly reveals significant features of the alignment otherwise difficult to perceive. WebLogo’s web site is available to all users without a fee, or WebLogo’s source code can be run on a local server."
,,"
  Add grpc support to the Mumble VoIP server
",,,,,,,," Portland State University, Mumble is an open source VoIP system that provides a free, high quality, voice communication alternative to proprietary software such as Teamspeak and Ventrilo.

Mumble allows server-side scripting using a proprietary RPC library. The library allows programs such as chat filters and custom user authentication schemes to be written for a Mumble server.

This project will add RPC support to the Mumble server using Google's new grpc library; an RPC library based on Google's protocol buffers."
,,"
  XBoard Enhancement and Accessibility
",,,,,,,," Portland State University, I understand that XBoard needs a GTK developer from their webpage. And it is still using Gtk2 not the updated version of Gtk(3).  And also it seems that XBoard GTK demands for some more accessibility features. What i have noticed is that there is no navigation of pieces using arrow keys and also it does not help a visually challenged person to know current position of pieces in the board. it is also noted that ORCA(Screen Reader) does not right away announce the movement played by the opponent."
,,"
  A Mobile Application Privacy Testing Tool
",,,,,,,," Portland State University, My project proposal is the development of a privacy testing tool for mobile applications. The aim of this tool is to identify common network based privacy threats in mobile applications, with the target audience being Android mobile developers. 
Privacy tools exist for users of mobile applications to detect privacy threats and some provide options to prevent personal data disclosure. However, there is a lack of tools available for mobile application developers to detect privacy issues."
,,"
  A tool to build Definitional Trees
",,,,,,,," Portland State University, A Definitional Tree is a hierarchical structure of the rules defining an operation in a program. For investigating and experimenting with evaluation strategies and compilation techniques for a program it is convenient to start with a definitional tree without the machinery and complexity of a compiler. Unfortunately, building a definitional tree by hand is a lengthy and tedious process. This project aims at building a tool for easily constructing a definitional tree for a given function."
,,"
  3D Differentiation Visualizer  (DiffVis3D)
",,,,,,,," Portland State University, Extending CellDiff3D to create a new web-based user-friendly tool for studying cellular differentiation processes controlled by gene regulatory networks."
,,"
  Improving sound in MuseScore up to the level of commercial software
",,,,,,,," Portland State University, MuseScore is an open source scorewriter and the main goal of this project is to create a tool for engraving notes. MuseScore can play created composition, but the sound is limited.
Better sound is a top requested feature in MuseScore for  years, and a lot of people can't move to MuseScore from commercial software because of poor sound. My goal is to improve sound in MuseScore by simplifying connection with other software."
,,"
  Web Application for Geologic Thin Section Mapping and Mineral Analysis
",,,,,,,," Portland State University, A web application for geologic thin section data analysis and GIS mapping. Users will be able to upload optical microscope images and SEM data. The images will be converted to slippy maps with different layers for each microscope image type. Users will share locations,   elemental data, and get a detailed PDF report. This project combines image analysis, GIS, SEM data, and mineralogy based geology - all open source and as an online tool for user collaboration around the world."
,,"
  A high-precision, open source indoor tracking system for first responders
",,,,,,,," Portland State University, I propose that it is possible to use an inertial measurement unit consisting of a digital accelerometer and gyro to track the location of a person in three dimensions solely using inexpensive MEMS IMUs. IMUs are notorious for losing accuracy over time, but they are reasonably accurate for short periods of time. This technology could be used to share real-time location information with nearby responders to make search and rescue more effective, and to allow precise rescue of trapped responders."
,,"
  Multiple Diagram Navigation Drupal Module
",,,,,,,," Portland State University, A picture is worth a thousand words. A diagram is sometime worth a ten thousand words [1]. Diagrams, maps, infographics, and other visual structures can provide a helpful overview to website content. MDN will allow Drupal website authors to incorporate different diagrams in their sites to provide different perspectives."
,,"
  Efficient Parallelized Bitmap Compression
",,,,,,,," Portland State University, I will be implementing a parallelized bitmap compression system system that supports three of the most widely used compression algorithms: WAH, PLWAH, and VAL-WAH.  I will use performance profiling tools such as Valgrind and OProfile to analyze caching patterns and memory performance in order to ensure high-performance when it comes to this compression."
,,"
  Improve the performance of “ALTER TABLE .. SET LOGGED / UNLOGGED” statement
",,,,,,,," PostgreSQL Project, Last year during the GSoC2014 I implemented the feature to allow an unlogged table to be changed to logged, but the desing chosen was to rewrite the entire heap in a new relfilenode with a new relpersistence, however this design lead us to performance problems with large relations because the relation should be rewritten, so this project will change the current desing of the mechanism of change an unlogged table to logged without the need to rewrite the entire heap."
,,"
  Sequential disk access during VACUUM for GiST
",,,,,,,," PostgreSQL Project, Hello. My name is Kuznetsov Constantine and I want to recode vecuum for gist. Now vacuum for gist reads blocks in logical order, but there is a possibility to make reading is more sequential."
,,"
  Port Firefox Legacy extension to Jetpack.
",,,,,,,," Privly Foundation, The project focuses on building a Privly Firefox extension on top of Mozilla’s Jetpack. Porting it to Jetpack would bring it to terms with the “Chrome” extension and would make further development easier. The project would include implementing several features such as Injecting content-scripts to replace privly-urls with Iframes, Opening “New-Message” from Context menus, Button in editable content areas for starting a Privly Post, Toolbar Pop-up Button, First-run start pages, etc."
,,"
  Privly Seemless Posting
",,,,,,,," Privly Foundation, Currently Privly provides seemless content integration feature. However users still need to pop up a window to create Privly messages. This project provides seemless creating Privly message feature. Users only need to click the button to enable Privly (which can be remembered), then he just write and submit content as if there is no Privly at all while his content is still protected by Privly."
,,"
  Improve mshtml.dll
",,,,,,,," The Wine Project, 1. Load msxml3.dll to implement IHTMLXMLHttpRequest, which is widely used now.
2. Implement the functions in IHTMLOptionElement and IHTMLSelectElement
3. Write test case for my code"
,,"
  Deep Learning for WSO2 Machine Learner
",,,,,,,," WSO2, Deep Learning (DL) can be identified as one of the most controversial recent Machine Learning techniques that attempt to perform effective feature extraction. DL is a representation learning technique recently invented. DL allows the businesses to leverage large unstructured datasets more effectively. Objectives of this project are developing a Jaggery [2] interface to interact with DL and implement DL in the underlying logical layer."
,,"
  Rewrite of the Icecast Stream Directory API(XIPH)
",,,,,,,," Xiph.Org Foundation, Building a REST JSON api for the Icecast Stream directory which will allow for more efficient use of the directory by Icecast clients. Will also rewrite the directory website to consume the new api."
,,"
  Extend Stroke Implementation
",,,,,,,," XMPP Standards Foundation, Stroke is a Java port of the Swiften(C++) XMPP library. However many functionalities are missing from the library. The aim of this project will be to port those missing functionalities from Swiften Library to Stroke, update those functionalities which have changed in Swiften since initial port, improve test coverage and thereby ensure that Stroke has feature parity with Swiften."
,,"
  Implement OAuth Support for Pywikibot
",,,,,,,," Wikimedia Foundation, This project is focusing on implement OAuth support for Pywikibot, which is a collection of tools that automate work on MediaWiki sites. OAuth will offer a more reasonable, safe and robust way to identity authentication for users who use Pywikibot to maintain their MediaWiki sites."
,,"
  CAD Model and Simulation Spline Visualization
",,,,,,,," The Visualization Toolkit, This project aims at adding a few extensions to the VTK library to support spline curve- and surface-based visualizations. In this project, we will focus on rational Bézier patches which are parametric surfaces generated from the Cartesian product of two Bézier curves, since isogeometric spline simulations of many different types can generate them. Supporting this widely-used parametric representation will give VTK the ability to visualize meshes and simulations processed from CAD models."
,,"
  Tux4ME - Mobile and Web Application
",,,,,,,," Tux4Kids, I wish to develop a mobile and web application for the Tux4ME idea. I have researched over the proposed idea and came out with this proposal.

I have considered this -  ""Cambridge brain sciences"" developed at Medical research council (MRC), Cambridge, UK. theory as the primary one in studying and choosing the games.

The games are explained in detail in the proposal.  The proposal also contain links to ""Design visuals"" of mobile app to be developed as a task assigned by the mentor."
,,"
  WinTox – A Windows Store client for Tox
",,,,,,,," Tox Foundation, WinTox is a Tox client written in C# and XAML, using SharpTox that follows all Modern UI best practices and conforms to the modern feel and styling of Windows 8+ applications. It implements modern UI features like proper snapping, on-screen keyboard support, etc., and all functionality from the Tox core like one-to-one/group/audio/video chats and file transmission."
,,"
  TEAMMATES -- Data Upload and Testing Hero
",,,,,,,," TEAMMATES @ National University of Singapore, The addition of the ability of uploading data about students will immensely benefit TEAMMATES. This will allow basic functions like tagging, searching, filtering and more advanced functions such as analytics. Implementing a scalable and cost-effective data upload will be a significant stepping stone to realizing TEAMMATES's full potential.
The secondary project aims to improve the robustness and effectiveness of the testing aspect of the project. This will be of great benefit to the developers."
,,"
  GSoC 2015: Testing and restructuring code
",,,,,,,," TARDIS SN, The goal of this project is to ensure uniform test coverage of all TARDIS methods and functions in the current code especially the C parts and also to make it more modular to accommodate the new Plasma framework."
,,"
  [GSoC2015]Proposal for the Photo Language Translation project
",,,,,,,," Systers, an Anita Borg Institute Community, I am interested in the Photo Language Translation project. I believe that it is a service that is crucially needed by the people who the service is targeted to, and it would absolutely be a great opportunity to join and help improve on the project to make it more complete. Summary of my suggestions:
Build administrator's page and tools.
Improve UI/UX.
Reform application for mobile development.
Build a central server/database and a way to sync local&server.
Open partially to public."
,,"
  Java language binding for syslog-ng
",,,,,,,," The syslog-ng project, syslog-ng is powerful log management solution with many log processing features, but if it is not enough, it can be extended with new modules written in C. However C is not the language for rapid development,. To overcome this problem, a Java destination is already available in syslog-ng-incubator. The goal of this project is to extend this functionality, and make it possible to write filters, parsers, rewrite rules, template functions, and even sources in Java."
,,"
  Interactive Javascript Shell
",,,,,,,," Sugar Labs, In this project, we will develop an Interactive Javascript Shell, a tool that a user, typically a student can open in his browser through Browse Activity on Sugar and can type in his javascript, HTML and CSS code and then immediately run it. This open source tool can be run from an offline host (e.g. school server) or on the XO to support user learning of Javascript."
,,"
  VPM-B integration
",,,,,,,," Subsurface, VPM-B is a scheduling algorithm for advanced divers, who seek more aggressive and yet safe ascending plans. My project will focus on this algorithms better understanding, writing it's clear description that can be used for other programmers and finally, implementing it as part of the Subsurface scheduling architecture. As a side effect, I will refactor Subsurface planner code, so it allows adding more scheduling algorithms in the future."
,,"
  Reliable multiarchitecture support
",,,,,,,," strace, The way multiple personalities of architectures (e.g. x86-64/x32/x86) are supported now is inherently unreliable. Parsers should be compiled for each supported personality."
,,"
  High performance vessel analysis tools:3D vessel reconstruction & analysis
",,,,,,,," Department of Biomedical Informatics, Stony Brook University, In this project under Google Summer of Code 2015, an efficient and scalable version of HPC implementation will be done using C++ programming language leveraging the powerful and rich open source libraries such as openCV, openSlide, VTK etc. to study 3D whole-slide microscopy image datasets and reconstruct 3D vessel structure to analyze serial liver slices."
,,"
  Implement a Plugin Mechanism for thread schedulers
",,,,,,,," The STE||AR Group, Revise the existing thread subsystem of HPX with an executor-resource manager module so that we have more fine grain control with respect to locality and other resource management choices."
